trans_id,lang,translation
且格小学校前,en,Shokaku Shogakko-mae(Shokaku Elementary School)
世保,ja,世保
世保,ja-Hrkt,よやす
世保,en,Yoyasu
中佐波,ja,中佐波
中佐波,ja-Hrkt,なかさば
中佐波,en,Naka Saba
中央公園,ja,中央公園
中央公園,ja-Hrkt,ちゅうおうこうえん
中央公園,en,Chuo Koen(Chuo Park)
中央卸売市場,ja,中央卸売市場
中央卸売市場,ja-Hrkt,ちゅうおうおろしうりしじょう
中央卸売市場,en,Chuo Oroshiuri Shijo
中寺町,ja,中寺町
中寺町,ja-Hrkt,なかでらちょう
中寺町,en,Nakaderacho
中山道・水薬師・大手御門,ja,中山道・水薬師・大手御門
中山道・水薬師・大手御門,ja-Hrkt,なかせんどう・みずやくし・おおてごもん
中山道・水薬師・大手御門,en,Nakasendo/Mizuyakushi/Otegomon
中島,ja,中島
中島,ja-Hrkt,なかしま
中島,en,Nakashima
中島1丁目,ja,中島1丁目
中島1丁目,ja-Hrkt,なかしまいっちょうめ
中島1丁目,en,Nakashima-itchome(Nakashima 1)
中島2丁目,ja,中島2丁目
中島2丁目,ja-Hrkt,なかしまにちょうめ
中島2丁目,en,Nakashima-nichome(Nakashima 2)
中島東,ja,中島東
中島東,ja-Hrkt,なかしまひがし
中島東,en,Nakashima-higashi
中川原,ja,中川原
中川原,ja-Hrkt,なかがわら
中川原,en,Nakagawara
中木田,ja,中木田
中木田,ja-Hrkt,なかきだ
中木田,en,Naka Kida
中琴塚,ja,中琴塚
中琴塚,ja-Hrkt,なかことづか
中琴塚,en,Naka Kotozuka
中西郷,ja,中西郷
中西郷,ja-Hrkt,なかさいごう
中西郷,en,Nakasaigo
中野,ja,中野
中野,ja-Hrkt,なかの
中野,en,Nakano
中野畑,ja,中野畑
中野畑,ja-Hrkt,なかのばた
中野畑,en,Nakanobata
中電アパート前,ja,中電アパート前
中電アパート前,ja-Hrkt,ちゅうでんあぱーとまえ
中電アパート前,en,Chuden Apartment-mae
中鶉4丁目,ja,中鶉4丁目
中鶉4丁目,ja-Hrkt,なかうずらよんちょうめ
中鶉4丁目,en,Nakauzura-yonchome(Nakauzura 4)
丸川荘前,ja,丸川荘前
丸川荘前,ja-Hrkt,まるかわそうまえ
丸川荘前,en,Marukawaso-mae
了義寺（半僧坊）前,ja,了義寺（半僧坊）前
了義寺（半僧坊）前,ja-Hrkt,りょうぎじ（はんそうぼう）まえ
了義寺（半僧坊）前,en,Ryogiji/Hansobo-mae
今井整形外科,ja,今井整形外科
今井整形外科,ja-Hrkt,いまいせいけいげか
今井整形外科,en,Imai Seikeigeka
今嶺4丁目,ja,今嶺4丁目
今嶺4丁目,ja-Hrkt,いまみねよんちょうめ
今嶺4丁目,en,Imamine-yonchome(Imamine 4)
今嶺公民館東,ja,今嶺公民館東
今嶺公民館東,ja-Hrkt,いまみねこうみんかんひがし
今嶺公民館東,en,Imamine Kominkan-higashi
今川,ja,今川
今川,ja-Hrkt,いまがわ
今川,en,Imagawa
伊豆神社前,ja,伊豆神社前
伊豆神社前,ja-Hrkt,いずじんじゃまえ
伊豆神社前,en,Izujinja-mae
信長苑東,ja,信長苑東
信長苑東,ja-Hrkt,のぶながえんひがし
信長苑東,en,Nobunagaen-higashi
信長苑西,ja,信長苑西
信長苑西,ja-Hrkt,のぶながえんにし
信長苑西,en,Nobunagaen-nishi
兎ヶ洞中公園,ja,兎ヶ洞中公園
兎ヶ洞中公園,ja-Hrkt,うさぎがぼらなかこうえん
兎ヶ洞中公園,en,Usagigabora-naka Koen(Usagigabora-naka Park)
兎ヶ洞東公園,ja,兎ヶ洞東公園
兎ヶ洞東公園,ja-Hrkt,うさぎがほらひがしこうえん
兎ヶ洞東公園,en,Usagigabora-higashi Koen(Usagigabora-higashi Park)
八代公園,ja,八代公園
八代公園,ja-Hrkt,やしろこうえん
八代公園,en,Yashiro Koen(Yashiro Park)
八幡洞中,ja,八幡洞中
八幡洞中,ja-Hrkt,はちまんぼらなか
八幡洞中,en,Hachimambora-naka
八幡洞入口,ja,八幡洞入口
八幡洞入口,ja-Hrkt,はちまんぼらいりぐち
八幡洞入口,en,Hachimambora-iriguchi
八幡洞団地,ja,八幡洞団地
八幡洞団地,ja-Hrkt,はちまんぼらだんち
八幡洞団地,en,Hachimamboradanchi
八幡町,ja,八幡町
八幡町,ja-Hrkt,はちまんちょう
八幡町,en,Hachimancho
八幡神社前,ja,八幡神社前
八幡神社前,ja-Hrkt,はちまんじんじゃまえ
八幡神社前,en,Hachimanjinja-mae
切通6丁目電話ボックス前,ja,切通6丁目電話ボックス前
切通6丁目電話ボックス前,ja-Hrkt,きりどおしろくちょうめでんわぼっくすまえ
切通6丁目電話ボックス前,en,Kiridoshi-rokuchome(Kiridoshi 6)/Denwa Box-mae
前一色中,ja,前一色中
前一色中,ja-Hrkt,まえいっしきなか
前一色中,en,Maeisshiki-naka
前一色東,ja,前一色東
前一色東,ja-Hrkt,まえいっしきひがし
前一色東,en,Maeisshiki-higashi
前一色西,ja,前一色西
前一色西,ja-Hrkt,まえいっしきにし
前一色西,en,Maeisshiki-nishi
加納中学校,ja,加納中学校
加納中学校,ja-Hrkt,かのうちゅうがっこう
加納中学校,en,Kano Chugakko(Kano Junior High School)
加納中広江町,ja,加納中広江町
加納中広江町,ja-Hrkt,かのうなかひろえまち
加納中広江町,en,Kano Nakahiroemachi
加納中通り,ja,加納中通り
加納中通り,ja-Hrkt,かのうなかどおり
加納中通り,en,Kano Nakadori
加納八幡町,ja,加納八幡町
加納八幡町,ja-Hrkt,かのうはちまんちょう
加納八幡町,en,Kano Hachimancho
加納公園,ja,加納公園
加納公園,ja-Hrkt,かのうこうえん
加納公園,en,Kano Koen(Kano Park)
加納北広江町,ja,加納北広江町
加納北広江町,ja-Hrkt,かのうきたひろえまち
加納北広江町,en,Kano Kitahiroemachi
加納城址,ja,加納城址
加納城址,ja-Hrkt,かのうじょうし
加納城址,en,Kanojoshi(Kano Castle Ruin)
加納堀田町2丁目,ja,加納堀田町2丁目
加納堀田町2丁目,ja-Hrkt,かのうほったちょうにちょうめ
加納堀田町2丁目,en,Kano Hottacho-nichome(Kano Hottacho 2)
加納小学校・加納東公民館,ja,加納小学校・加納東公民館
加納小学校・加納東公民館,ja-Hrkt,かのうしょうがっこう・かのうひがしこうみんかん
加納小学校・加納東公民館,en,Kano Shogakko(Kano Elementary School)/Kanohigashi Kominkan
加納愛宕町,ja,加納愛宕町
加納愛宕町,ja-Hrkt,かのうあたごちょう
加納愛宕町,en,Kano Atagocho
加納神明町・児童センター,ja,加納神明町・児童センター
加納神明町・児童センター,ja-Hrkt,かのうしんめいちょう・じどうせんたー
加納神明町・児童センター,en,Kano Shimmeicho/Jidou Center
加納花ノ木町,ja,加納花ノ木町
加納花ノ木町,ja-Hrkt,かのうはなのきちょう
加納花ノ木町,en,Kano Hananokicho
加納西小学校・公民館,ja,加納西小学校・公民館
加納西小学校・公民館,ja-Hrkt,かのうにししょうがっこう・こうみんかん
加納西小学校・公民館,en,Kano Nishi Shogakko(Kano Nishi Elementary School)/Kominkan
加納鉄砲町5丁目,ja,加納鉄砲町5丁目
加納鉄砲町5丁目,ja-Hrkt,かのうてっぽうちょうごちょうめ
加納鉄砲町5丁目,en,Kano Teppocho-gochome(Kano Teppocho 5)
加納高校,ja,加納高校
加納高校,ja-Hrkt,かのうこうこう
加納高校,en,Kano Koko(Kano High School)
加藤クリニック・セブンイレブン前,ja,加藤クリニック・セブンイレブン前
加藤クリニック・セブンイレブン前,ja-Hrkt,かとうくりにっく・せぶんいれぶんまえ
加藤クリニック・セブンイレブン前,en,Kato Clinic/SEVEN-ELEVEN-mae
加藤医院,ja,加藤医院
加藤医院,ja-Hrkt,かとういいん
加藤医院,en,Kato Iin
加野団地公民館,ja,加野団地公民館
加野団地公民館,ja-Hrkt,かのだんちこうみんかん
加野団地公民館,en,Kanodanchi Kominkan
加野東,ja,加野東
加野東,ja-Hrkt,かのひがし
加野東,en,Kano-higashi
加野郵便局,ja,加野郵便局
加野郵便局,ja-Hrkt,かのゆうびんきょく
加野郵便局,en,Kano Yubinkyoku(Kano Post Office)
北一色,ja,北一色
北一色,ja-Hrkt,きたいっしき
北一色,en,Kitaisshiki
北塚会館,ja,北塚会館
北塚会館,ja-Hrkt,きたづかかいかん
北塚会館,en,Kitazuka Kaikan
北山公園,ja,北山公園
北山公園,ja-Hrkt,きたやまこうえん
北山公園,en,Kitayama Koen(Kitayama Park)
北山東（3丁目）,ja,北山東（3丁目）
北山東（3丁目）,ja-Hrkt,きたやまひがし（さんちょうめ）
北山東（3丁目）,en,Kitayama-higashi/sanchome(Kitayama 3)
北山西（1丁目）,ja,北山西（1丁目）
北山西（1丁目）,ja-Hrkt,きたやまにし（いっちょうめ）
北山西（1丁目）,en,Kitayama-nishi/itchome(Kitayama 1)
北市民健康センター,ja,北市民健康センター
北市民健康センター,ja-Hrkt,きたしみんけんこうせんたー
北市民健康センター,en,Kitashimin Kenko Center
北東部コミセン,ja,北東部コミセン
北東部コミセン,ja-Hrkt,ほくとうぶこみせん
北東部コミセン,en,Hokutobu Komisen(Hokutobu Community Center)
北沖団地・プリント学習社前,ja,北沖団地・プリント学習社前
北沖団地・プリント学習社前,ja-Hrkt,きたおきだんち・ぷりんとがくしゅうしゃまえ
北沖団地・プリント学習社前,en,Kitaoki Danchi/Printgakushusha-mae
北浦,ja,北浦
北浦,ja-Hrkt,きたうら
北浦,en,Kitaura
北消防署前,ja,北消防署前
北消防署前,ja-Hrkt,きたしょうぼうしょまえ
北消防署前,en,Kitashobosho-mae
北琴塚,ja,北琴塚
北琴塚,ja-Hrkt,きたことづか
北琴塚,en,Kita Kotozuka
北部コミセン,ja,北部コミセン
北部コミセン,ja-Hrkt,ほくぶこみせん
北部コミセン,en,Hokubu Komisen(Hokubu Community Center)
十六銀行・コメダ則武店,ja,十六銀行・コメダ則武店
十六銀行・コメダ則武店,ja-Hrkt,じゅうろくぎんこう・こめだのりたけてん
十六銀行・コメダ則武店,en,Juroku Ginko(Juroku Bank)/Komeda Noritaketen
千疋口,ja,千疋口
千疋口,ja-Hrkt,せんびきくち
千疋口,en,Sembikikuchi
千草町,ja,千草町
千草町,ja-Hrkt,ちくさちょう
千草町,en,Chikusacho
南塚4丁目,ja,南塚4丁目
南塚4丁目,ja-Hrkt,みなみづかよんちょうめ
南塚4丁目,en,Minamizuka-yonchome(Minamizuka 4)
南山2・3丁目,ja,南山2・3丁目
南山2・3丁目,ja-Hrkt,みなみやまに・さんちょうめ
南山2・3丁目,en,Minamiyama-ni/sanchome(Minamiyama 2/Minamiyama 3)
南市民健康センター,ja,南市民健康センター
南市民健康センター,ja-Hrkt,みなみしみんけんこうせんたー
南市民健康センター,en,Minamishimin Kenko Center
南沢公民館前,ja,南沢公民館前
南沢公民館前,ja-Hrkt,みなみさわこうみんかんまえ
南沢公民館前,en,Minamisawa Kominkan-mae
南部コミセン,ja,南部コミセン
南部コミセン,ja-Hrkt,なんぶこみせん
南部コミセン,en,Nambu Komisen(Nambu Community Center)
南部西事務所前,ja,南部西事務所前
南部西事務所前,ja-Hrkt,なんぶにしじむしょまえ
南部西事務所前,en,Nambunishi Jimusho(Southwest Office)
南鶉3丁目,ja,南鶉3丁目
南鶉3丁目,ja-Hrkt,みなみうずらさんちょうめ
南鶉3丁目,en,Minamiuzura-sanchome(Minamiuzura 3)
厚八グランド北,ja,厚八グランド北
厚八グランド北,ja-Hrkt,こうはちぐらんどきた
厚八グランド北,en,Kohachi Ground-kita
厚見中学校前,ja,厚見中学校前
厚見中学校前,ja-Hrkt,あつみちゅうがっこうまえ
厚見中学校前,en,Atsumi Chugakko-mae(Atsumi Junior High School)
厚見公民館前,ja,厚見公民館前
厚見公民館前,ja-Hrkt,あつみこうみんかんまえ
厚見公民館前,en,Atsumi Kominkan-mae
厳美郵便局前,ja,厳美郵便局前
厳美郵便局前,ja-Hrkt,いずみゆうびんきょくまえ
厳美郵便局前,en,Izumi Yubinkyoku-mae(Izumi Post Office)
又丸,ja,又丸
又丸,ja-Hrkt,またまる
又丸,en,Matamaru
又丸柳町,ja,又丸柳町
又丸柳町,ja-Hrkt,またまるやなぎまち
又丸柳町,en,Matamaruyanagimachi
友瀬・子正賀,ja,友瀬・子正賀
友瀬・子正賀,ja-Hrkt,ともせ・こしょうが
友瀬・子正賀,en,Tomose/Koshoga
名鉄岐阜駅前,ja,名鉄岐阜駅前
名鉄岐阜駅前,ja-Hrkt,めいてつぎふえきまえ
名鉄岐阜駅前,en,MEITETSU GIFU eki-mae(MEITETSU GIFU Sta.)
名鉄柳津駅,ja,名鉄柳津駅
名鉄柳津駅,ja-Hrkt,めいてつやないづえき
名鉄柳津駅,en,MEITETSU YANAIZU eki(YANAIZU Sta.)
団地７棟南,ja,団地７棟南
団地７棟南,ja-Hrkt,だんちななとうみなみ
団地７棟南,en,Danchi Nanato-minami
図書館美術館駐車場前,ja,図書館美術館駐車場前
図書館美術館駐車場前,ja-Hrkt,としょかんびじゅつかんちゅうしゃじょうまえ
図書館美術館駐車場前,en,Toshokan Bijutsukan Chushajo-mae
地蔵堂前,ja,地蔵堂前
地蔵堂前,ja-Hrkt,じぞうどうまえ
地蔵堂前,en,Jizodo-mae
坂巻,ja,坂巻
坂巻,ja-Hrkt,さかまき
坂巻,en,Sakamaki
城北高校前,ja,城北高校前
城北高校前,ja-Hrkt,じょうほくこうこうまえ
城北高校前,en,Johoku Koko-mae(Johoku High School)
城北高校南口,ja,城北高校南口
城北高校南口,ja-Hrkt,じょうほくこうこうみなみぐち
城北高校南口,en,Johoku Koko Minamiguchi(Johoku High School)
城東通り5丁目,ja,城東通り5丁目
城東通り5丁目,ja-Hrkt,じょうとうどおりごちょうめ
城東通り5丁目,en,Jotodori-gochome(Jotodori 5)
城美南公園前,ja,城美南公園前
城美南公園前,ja-Hrkt,しろみみなみこうえんまえ
城美南公園前,en,Shiromiminami Koen-mae(Shiromiminami Park)
城美台公民館前,ja,城美台公民館前
城美台公民館前,ja-Hrkt,しろみだいこうみんかんまえ
城美台公民館前,en,Shiromidai Kominkan-mae
城美台北,ja,城美台北
城美台北,ja-Hrkt,しろみだいきた
城美台北,en,Shiromidai-kita
城美台西,ja,城美台西
城美台西,ja-Hrkt,しろみだいにし
城美台西,en,Shiromidai-nishi
堀江畳店前,ja,堀江畳店前
堀江畳店前,ja-Hrkt,ほりえたたみてんまえ
堀江畳店前,en,Horie Tatamiten-mae
堂後,ja,堂後
堂後,ja-Hrkt,どううしろ
堂後,en,Doushiro
堤,ja,堤
堤,ja-Hrkt,つつみ
堤,en,Tsutsumi
増田医院前,ja,増田医院前
増田医院前,ja-Hrkt,ますだいいんまえ
増田医院前,en,Masuda Iin-mae
多田精機前,ja,多田精機前
多田精機前,ja-Hrkt,ただせいきまえ
多田精機前,en,Tadaseiki-mae
大前医院前,ja,大前医院前
大前医院前,ja-Hrkt,おおまえいいんまえ
大前医院前,en,Omae Iin-mae
大洞保育園,ja,大洞保育園
大洞保育園,ja-Hrkt,おおぼらほいくえん
大洞保育園,en,Obora Hoikuen(Obora Kindergarten)
大洞岐協苑,ja,大洞岐協苑
大洞岐協苑,ja-Hrkt,おおぼらぎきょうえん
大洞岐協苑,en,Obora Gikyoen
大洞接骨院前,ja,大洞接骨院前
大洞接骨院前,ja-Hrkt,おおぼらせっこついんまえ
大洞接骨院前,en,Obora Sekkotsuin-mae
大洞西,ja,大洞西
大洞西,ja-Hrkt,おおぼらにし
大洞西,en,Obora-nishi
大洞郵便局南,ja,大洞郵便局南
大洞郵便局南,ja-Hrkt,おおぼらゆうびんきょくみなみ
大洞郵便局南,en,Obora Yubinkyoku-minami(Obora Post Office-minami)
大洞郵便局東,ja,大洞郵便局東
大洞郵便局東,ja-Hrkt,おおぼらゆうびんきょくひがし
大洞郵便局東,en,Obora Yubinkyoku-higashi(Obora Post Office-higashi)
大福町8丁目,ja,大福町8丁目
大福町8丁目,ja-Hrkt,だいふくちょうはっちょうめ
大福町8丁目,en,Daifukucho-hatchome(Daifukucho 8)
大脇森北冷機前,ja,大脇森北冷機前
大脇森北冷機前,ja-Hrkt,おおわきもりきたれいきまえ
大脇森北冷機前,en,Owaki Morikita Reiki-mae
大船2丁目,ja,大船2丁目
大船2丁目,ja-Hrkt,おおぶねにちょうめ
大船2丁目,en,Obune-nichome(Obune 2)
大船東,ja,大船東
大船東,ja-Hrkt,おおぶねひがし
大船東,en,Obune-higashi
大蔵台公民館前,ja,大蔵台公民館前
大蔵台公民館前,ja-Hrkt,おおくらだいこうみんかんまえ
大蔵台公民館前,en,Okuradai Kominkan-mae
大蔵台団地西,ja,大蔵台団地西
大蔵台団地西,ja-Hrkt,おおくらだいだんちにし
大蔵台団地西,en,Okuradai Danchi-nishi
大野2丁目東【廃止】,ja,大野2丁目東【廃止】
大野2丁目東【廃止】,ja-Hrkt,おおのにちょうめひがし
大野2丁目東【廃止】,en,Ono-nichome-higashi(Ono 2 higashi)
大野2丁目西,ja,大野2丁目西
大野2丁目西,ja-Hrkt,おおのにちょうめにし
大野2丁目西,en,Ono-nichome-nishi(Ono 2 nishi)
天満神社西,ja,天満神社西
天満神社西,ja-Hrkt,てんまんじんじゃにし
天満神社西,en,Temmanjinja-nishi
天野,ja,天野
天野,ja-Hrkt,てんの
天野,en,Tenno
太郎丸団地,ja,太郎丸団地
太郎丸団地,ja-Hrkt,たろうまるだんち
太郎丸団地,en,Taromaru Danchi
子正賀西,ja,子正賀西
子正賀西,ja-Hrkt,こしょうがにし
子正賀西,en,Koshoga-nishi
宇佐住吉町,ja,宇佐住吉町
宇佐住吉町,ja-Hrkt,うさすみよしちょう
宇佐住吉町,en,Usa Sumiyoshicho
宇佐東町,ja,宇佐東町
宇佐東町,ja-Hrkt,うさひがしまち
宇佐東町,en,Usa Higashimachi
安壮接骨院前,ja,安壮接骨院前
安壮接骨院前,ja-Hrkt,あんそうせっこついんまえ
安壮接骨院前,en,Anso Sekkotsuin-mae
安江内科クリニック前,ja,安江内科クリニック前
安江内科クリニック前,ja-Hrkt,やすえないかくりにっくまえ
安江内科クリニック前,en,Yasuenaika Clinic-mae
安江病院,ja,安江病院
安江病院,ja-Hrkt,やすえびょういん
安江病院,en,Yasue Byoin(Yasue Hospital)
安達整形外科,ja,安達整形外科
安達整形外科,ja-Hrkt,あだちせいけいげか
安達整形外科,en,Adachi Seikeigeka
宝来町,ja,宝来町
宝来町,ja-Hrkt,ほうらいちょう
宝来町,en,Houraicho
宮上ふれあい会館西,ja,宮上ふれあい会館西
宮上ふれあい会館西,ja-Hrkt,みやかみふれあいかいかんにし
宮上ふれあい会館西,en,Miyakami Fureai Kaikan-nishi
宮下,ja,宮下
宮下,ja-Hrkt,みやしも
宮下,en,Miyashimo
宮北町,ja,宮北町
宮北町,ja-Hrkt,みやきたちょう
宮北町,en,Miyakitacho
寺内,ja,寺内
寺内,ja-Hrkt,じない
寺内,en,Jinai
寺内橋西,ja,寺内橋西
寺内橋西,ja-Hrkt,じないばしにし
寺内橋西,en,Jinaibashi-nishi(Jinai Bridge)
寿楽苑前,ja,寿楽苑前
寿楽苑前,ja-Hrkt,じゅらくえんまえ
寿楽苑前,en,Jurakuen-mae
小坂町,ja,小坂町
小坂町,ja-Hrkt,こさかまち
小坂町,en,Kosakamachi
小島内科クリニック,ja,小島内科クリニック
小島内科クリニック,ja-Hrkt,こじまないかくりにっく
小島内科クリニック,en,Kojima Naika Clinic
小島製作所,ja,小島製作所
小島製作所,ja-Hrkt,こじませいさくしょ
小島製作所,en,Kojima Seisakusho
小野,ja,小野
小野,ja-Hrkt,この
小野,en,Kono
小野北,ja,小野北
小野北,ja-Hrkt,このきた
小野北,en,Kono-kita
小野東,ja,小野東
小野東,ja-Hrkt,このひがし
小野東,en,Kono-higashi
尻毛１丁目,ja,尻毛１丁目
尻毛１丁目,ja-Hrkt,しっけいっちょうめ
尻毛１丁目,en,Shikke-itchome(Shikke 1)
尻毛２丁目,ja,尻毛２丁目
尻毛２丁目,ja-Hrkt,しっけにちょうめ
尻毛２丁目,en,Shikke-nichome(Shikke 2)
尾崎花園前,ja,尾崎花園前
尾崎花園前,ja-Hrkt,おざきはなえんまえ
尾崎花園前,en,Ozaki Hanaen-mae
山内ホスピタル北,ja,山内ホスピタル北
山内ホスピタル北,ja-Hrkt,やまうちほすぴたるきた
山内ホスピタル北,en,Yamauchi Hospital-kita
山吹町2丁目,ja,山吹町2丁目
山吹町2丁目,ja-Hrkt,やまぶきちょうにちょうめ
山吹町2丁目,en,Yamabukicho-nichome(Yamabukicho 2)
山田メディカルクリニック,ja,山田メディカルクリニック
山田メディカルクリニック,ja-Hrkt,やまだめでぃかるくりにっく
山田メディカルクリニック,en,Yamada Medical Clinic
山陽町,ja,山陽町
山陽町,ja-Hrkt,さんようちょう
山陽町,en,Sanyocho
岐北厚生病院,ja,岐北厚生病院
岐北厚生病院,ja-Hrkt,ぎほくこうせいびょういん
岐北厚生病院,en,Gihoku Kosei Byoin(Gihoku Kosei Hospital)
岐南工業高校,ja,岐南工業高校
岐南工業高校,ja-Hrkt,ぎなんこうぎょうこうこう
岐南工業高校,en,Ginankogyo Koko(Ginankogyo High School)
岐大口,ja,岐大口
岐大口,ja-Hrkt,ぎだいぐち
岐大口,en,Gidai-guchi
岐山高校南,ja,岐山高校南
岐山高校南,ja-Hrkt,ぎざんこうこうみなみ
岐山高校南,en,Gizankoko-minami(Gizan High School)
岐阜トヨタ前,ja,岐阜トヨタ前
岐阜トヨタ前,ja-Hrkt,ぎふとよたまえ
岐阜トヨタ前,en,Gifu TOYOTA-mae
岐阜ハートセンター前,ja,岐阜ハートセンター前
岐阜ハートセンター前,ja-Hrkt,ぎふはーとせんたーまえ
岐阜ハートセンター前,en,Gifu Heart Center-mae
岐阜ファミリーパーク,ja,岐阜ファミリーパーク
岐阜ファミリーパーク,ja-Hrkt,ぎふふぁみりーぱーく
岐阜ファミリーパーク,en,Gifu Family Park
岐阜メイツクリニック北,ja,岐阜メイツクリニック北
岐阜メイツクリニック北,ja-Hrkt,ぎふめいつくりにっくきた
岐阜メイツクリニック北,en,Gifu Mates Clinic-kita
岐阜メモリアルセンター,ja,岐阜メモリアルセンター
岐阜メモリアルセンター,ja-Hrkt,ぎふめもりあるせんたー
岐阜メモリアルセンター,en,Gifu Memorial Center
岐阜信用金庫うずら支店北,ja,岐阜信用金庫うずら支店北
岐阜信用金庫うずら支店北,ja-Hrkt,ぎふしんようきんこうずらしてんきた
岐阜信用金庫うずら支店北,en,Gifushinyokinko Uzurashiten-kita
岐阜信用金庫切通支店,ja,岐阜信用金庫切通支店
岐阜信用金庫切通支店,ja-Hrkt,ぎふしんようきんこきりどおししてん
岐阜信用金庫切通支店,en,Gifushinyokinko Kiridoshi-shiten
岐阜信用金庫前,ja,岐阜信用金庫前
岐阜信用金庫前,ja-Hrkt,ぎふしんようきんこまえ
岐阜信用金庫前,en,Gifushinyokinko-mae
岐阜南病院北・㈱カネヒロ前,ja,岐阜南病院北・㈱カネヒロ前
岐阜南病院北・㈱カネヒロ前,ja-Hrkt,ぎふみなみびょういんきた・かぶしきがいしゃかねひろまえ
岐阜南病院北・㈱カネヒロ前,en,Gifu Minami Byoin-kita(Gifu Minami Hospital)/Kabushikigaisha Kanehiro-mae
岐阜外科,ja,岐阜外科
岐阜外科,ja-Hrkt,ぎふげか
岐阜外科,en,Gifugeka
岐阜大学,ja,岐阜大学
岐阜大学,ja-Hrkt,ぎふだいがく
岐阜大学,en,Gifu Daigaku(Gifu Univ.)
岐阜大学病院,ja,岐阜大学病院
岐阜大学病院,ja-Hrkt,ぎふだいがくびょういん
岐阜大学病院,en,Gifudaigaku Byoin(Gifu Univ. Hospital)
岐阜工芸北,ja,岐阜工芸北
岐阜工芸北,ja-Hrkt,ぎふこうげいきた
岐阜工芸北,en,Gifukogei-kita
岐阜市斎苑前,ja,岐阜市斎苑前
岐阜市斎苑前,ja-Hrkt,ぎふしさいえんまえ
岐阜市斎苑前,en,Gifushi Saien-mae(Gifushi Crematorium)
岐阜曙郵便局,ja,岐阜曙郵便局
岐阜曙郵便局,ja-Hrkt,ぎふあけぼのゆうびんきょく
岐阜曙郵便局,en,Gifu Akebono Yubinkyoku(Gifu AkebonoPost Office)
岐阜清流病院,ja,岐阜清流病院
岐阜清流病院,ja-Hrkt,ぎふせいりゅうびょういん
岐阜清流病院,en,Gifu Seiryu Byoin(Gifu Seiryu Hospital)
岐阜産業会館,ja,岐阜産業会館
岐阜産業会館,ja-Hrkt,ぎふさんぎょうかいかん
岐阜産業会館,en,Gifusangyo Kaikan
岐阜病院前,ja,岐阜病院前
岐阜病院前,ja-Hrkt,ぎふびょういんまえ
岐阜病院前,en,Gifu Byoin-mae(Gifu Hospital)
岐阜病院南,ja,岐阜病院南
岐阜病院南,ja-Hrkt,ぎふびょういんみなみ
岐阜病院南,en,Gifu Byoin-minami(Gifu Hospital-minami)
岐阜聖徳学園大学,ja,岐阜聖徳学園大学
岐阜聖徳学園大学,ja-Hrkt,ぎふしょうとくがくえんだいがく
岐阜聖徳学園大学,en,Gifushotokugakuen Daigaku(Gifushotokugakuen Univ.)
岐阜西改田簡易郵便局前,ja,岐阜西改田簡易郵便局前
岐阜西改田簡易郵便局前,ja-Hrkt,ぎふにしかいでんかんいゆうびんきょくまえ
岐阜西改田簡易郵便局前,en,Gifu Nishikaiden Kaniyubinkyoku-mae(Gifu Nishikaiden Kani Post Office)
岐阜赤十字病院,ja,岐阜赤十字病院
岐阜赤十字病院,ja-Hrkt,ぎふせきじゅうじびょういん
岐阜赤十字病院,en,Gifu Sekijuji Byoin(Gifu Sekijuji Hospital)
岐阜電材前,ja,岐阜電材前
岐阜電材前,ja-Hrkt,ぎふでんざいまえ
岐阜電材前,en,Gifudenzai-mae
岡本・中島米穀前,ja,岡本・中島米穀前
岡本・中島米穀前,ja-Hrkt,おかもと・なかじまべいこくまえ
岡本・中島米穀前,en,Okamoto/Nakajima Beikoku-mae
岩井中公民館前,ja,岩井中公民館前
岩井中公民館前,ja-Hrkt,いわいなかこうみんかんまえ
岩井中公民館前,en,Iwainaka Kominkan-mae
岩井団地入り口,ja,岩井団地入り口
岩井団地入り口,ja-Hrkt,いわいだんちいりぐち
岩井団地入り口,en,Iwaidanchi-iriguchi
岩井団地東,ja,岩井団地東
岩井団地東,ja-Hrkt,いわいだんちひがし
岩井団地東,en,Iwaidanchi-higashi
岩井団地西,ja,岩井団地西
岩井団地西,ja-Hrkt,いわいだんちにし
岩井団地西,en,Iwaidanchi-nishi
岩井東公民館,ja,岩井東公民館
岩井東公民館,ja-Hrkt,いわいひがしこうみんかん
岩井東公民館,en,Iwaihigashi Kominkan
岩地1丁目中央,ja,岩地1丁目中央
岩地1丁目中央,ja-Hrkt,いわちいっちょうめちゅうおう
岩地1丁目中央,en,Iwachi-itchome-chuo(Iwachi 1)
岩崎山手,ja,岩崎山手
岩崎山手,ja-Hrkt,いわさきやまて
岩崎山手,en,Iwasaki Yamate
岩崎戸羽川,ja,岩崎戸羽川
岩崎戸羽川,ja-Hrkt,いわさきとばがわ
岩崎戸羽川,en,Iwasaki Tobagawa
岩崎桜本,ja,岩崎桜本
岩崎桜本,ja-Hrkt,いわさきさくらもと
岩崎桜本,en,Iwasaki Sakuramoto
岩崎畑中,ja,岩崎畑中
岩崎畑中,ja-Hrkt,いわさきはたなか
岩崎畑中,en,Iwasaki Hatanaka
岩田（東）,ja,岩田（東）
岩田（東）,ja-Hrkt,いわた（ひがし）
岩田（東）,en,Iwata-higashi
岩田（西）,ja,岩田（西）
岩田（西）,ja-Hrkt,いわた（にし）
岩田（西）,en,Iwata-nishi
岩田坂北町,ja,岩田坂北町
